Date,TeamA,TeamB,ScoreA,ScoreB,Sex,TournamentName,year,Venue,WinningTeam
2000/04/23,Angola,Tunisia,30,22,W,AfricanChampionship,2000,Algeria,Angola
2000/04/23,Ivory Coast,Senegal,26,11,W,AfricanChampionship,2000,Algeria,Ivory Coast
2000/04/25,Angola,Senegal,30,19,W,AfricanChampionship,2000,Algeria,Angola
2000/04/25,Tunisia,Ivory Coast,21,20,W,AfricanChampionship,2000,Algeria,Tunisia
2000/04/27,Tunisia,Senegal,36,23,W,AfricanChampionship,2000,Algeria,Tunisia
2000/04/27,Angola,Ivory Coast,20,18,W,AfricanChampionship,2000,Algeria,Angola
2000/04/22,Cameroon,Algeria,25,23,W,AfricanChampionship,2000,Algeria,Cameroon
2000/04/22,Congo,Gabon,35,10,W,AfricanChampionship,2000,Algeria,Congo
2000/04/24,Congo,Algeria,21,18,W,AfricanChampionship,2000,Algeria,Congo
2000/04/24,Cameroon,Gabon,27,15,W,AfricanChampionship,2000,Algeria,Cameroon
2000/04/26,Congo,Cameroon,24,20,W,AfricanChampionship,2000,Algeria,Congo
2000/04/26,Algeria,Gabon,31,15,W,AfricanChampionship,2000,Algeria,Algeria
2000/04/29,Congo,Tunisia,24,16,W,AfricanChampionship,2000,Algeria,Congo
2000/04/29,Angola,Cameroon,26,21,W,AfricanChampionship,2000,Algeria,Angola
2000/04/30,Senegal,Gabon,18,14,W,AfricanChampionship,2000,Algeria,Senegal
2000/04/30,Ivory Coast,Algeria,24,15,W,AfricanChampionship,2000,Algeria,Ivory Coast
2000/04/30,Tunisia,Cameroon,34,33,W,AfricanChampionship,2000,Algeria,Tunisia
2000/05/01,Angola,Congo,30,21,W,AfricanChampionship,2000,Algeria,Angola
2002/04/19,Tunisia,Morocco,38,11,W,AfricanChampionship,2002,Morocco,Tunisia
2002/04/20,Cameroon,Morocco,24,11,W,AfricanChampionship,2002,Morocco,Cameroon
2002/04/21,Tunisia,Cameroon,27,21,W,AfricanChampionship,2002,Morocco,Tunisia
2002/04/19,Angola,Gabon,36,16,W,AfricanChampionship,2002,Morocco,Angola
2002/04/20,Ivory Coast,Gabon,32,12,W,AfricanChampionship,2002,Morocco,Ivory Coast
2002/04/21,Angola,Ivory Coast,26,16,W,AfricanChampionship,2002,Morocco,Angola
2002/04/19,Congo,DR Congo,41,15,W,AfricanChampionship,2002,Morocco,Congo
2002/04/20,Algeria,DR Congo,29,20,W,AfricanChampionship,2002,Morocco,Algeria
2002/04/21,Algeria,Congo,33,23,W,AfricanChampionship,2002,Morocco,Algeria
2002/04/23,Angola,Tunisia,27,21,W,AfricanChampionship,2002,Morocco,Angola
2002/04/24,Angola,Congo,31,20,W,AfricanChampionship,2002,Morocco,Angola
2002/04/23,Ivory Coast,Cameroon,26,22,W,AfricanChampionship,2002,Morocco,Ivory Coast
2002/04/24,Ivory Coast,Algeria,20,19,W,AfricanChampionship,2002,Morocco,Ivory Coast
2002/04/23,Gabon,Morocco,22,13,W,AfricanChampionship,2002,Morocco,Gabon
